2016-11-11_15:00;9;0;0.0;196.8;1500;7;8;113;0.0;67;10;1018;8;7
2016-11-11_16:00;9;0;0.0;196.8;1600;6;8;113;0.0;70;10;1018;7;6
2016-11-11_17:00;9;0;0.0;196.8;1700;5;7;113;0.0;74;10;1018;6;5
2016-11-11_18:00;9;0;0.0;196.8;1800;3;6;113;0.0;78;10;1019;5;3
2016-11-11_19:00;9;0;0.0;196.8;1900;3;6;113;0.0;77;10;1019;5;3
2016-11-11_20:00;9;0;0.0;196.8;2000;2;6;113;0.0;77;10;1019;5;2
2016-11-11_21:00;9;0;0.0;196.8;2100;1;6;113;0.0;76;10;1019;5;1
2016-11-11_22:00;9;0;0.0;196.8;2200;1;7;113;0.0;77;10;1019;6;1
2016-11-11_23:00;9;0;0.0;196.8;2300;1;7;113;0.0;77;10;1019;8;1
2016-11-12_00:00;7;1;0.0;196.8;0000;1;8;113;0.0;78;10;1020;9;1
2016-11-12_01:00;7;1;0.0;196.8;0100;1;8;113;0.0;78;10;1019;18;1
2016-11-12_02:00;7;1;0.0;196.8;0200;1;8;119;0.0;79;10;1019;26;1
2016-11-12_03:00;7;1;0.0;196.8;0300;2;8;119;0.0;80;10;1019;35;2
2016-11-12_04:00;7;1;0.0;196.8;0400;2;8;119;0.2;80;10;1018;52;2
2016-11-12_08:00;7;1;0.0;196.8;0800;2;11;296;1.2;83;9;1017;94;2
2016-11-12_05:00;7;1;0.0;196.8;0500;2;8;296;0.3;80;10;1018;69;2
2016-11-12_06:00;7;1;0.0;196.8;0600;2;9;296;0.5;81;10;1018;86;2
2016-11-12_07:00;7;1;0.0;196.8;0700;2;10;296;0.8;82;9;1017;90;2
2016-11-12_09:00;7;1;0.0;196.8;0900;3;12;296;1.5;85;9;1016;98;3
2016-11-12_10:00;7;1;0.0;196.8;1000;4;12;296;1.4;84;9;1016;96;4
2016-11-12_11:00;7;1;0.0;196.8;1100;5;12;296;1.4;84;9;1015;93;5
2016-11-12_14:00;7;1;0.0;196.8;1400;7;12;296;1.4;89;9;1013;89;7
2016-11-12_12:00;7;1;0.0;196.8;1200;6;13;296;1.3;84;9;1015;91;6
2016-11-12_13:00;7;1;0.0;196.8;1300;6;12;296;1.3;87;9;1014;90;6
2016-11-12_15:00;7;1;0.0;196.8;1500;7;11;296;1.4;92;9;1013;88;7
2016-11-12_16:00;7;1;0.0;196.8;1600;7;10;296;1.8;94;9;1012;92;7
2016-11-12_17:00;7;1;0.0;196.8;1700;6;9;302;2.3;96;9;1011;96;6
2016-11-12_18:00;7;1;0.0;196.8;1800;6;7;302;2.7;98;8;1011;100;6
2016-11-12_19:00;7;1;0.0;196.8;1900;6;6;302;3.0;99;8;1010;100;6
2016-11-12_20:00;7;1;0.0;196.8;2000;6;6;302;3.4;99;7;1009;100;6
2016-11-12_21:00;7;1;0.0;196.8;2100;5;5;302;3.7;99;7;1009;100;5
2016-11-13_00:00;1;-1;12.5;196.8;0000;5;9;296;2.7;97;8;1007;100;5
2016-11-12_22:00;7;1;0.0;196.8;2200;5;6;302;3.4;98;7;1008;100;5
2016-11-12_23:00;7;1;0.0;196.8;2300;5;8;296;3.0;98;7;1007;100;5
2016-11-13_01:00;1;-1;12.5;196.8;0100;5;11;296;2.8;96;8;1006;100;5
2016-11-13_02:00;1;-1;12.5;196.8;0200;5;14;320;2.8;95;8;1006;100;5
2016-11-13_03:00;1;-1;12.5;196.8;0300;4;16;320;2.9;94;8;1006;100;4
2016-11-13_04:00;1;-1;12.5;196.8;0400;4;17;320;3.6;94;7;1006;100;4
2016-11-13_05:00;1;-1;12.5;196.8;0500;3;19;338;4.4;93;6;1006;100;3
2016-11-13_06:00;1;-1;12.5;196.8;0600;3;21;338;5.1;93;5;1006;100;3
2016-11-13_07:00;1;-1;12.5;196.8;0700;2;22;338;4.5;94;4;1008;100;2
2016-11-13_08:00;1;-1;12.5;196.8;0800;1;23;230;4.0;94;2;1009;100;1
2016-11-13_09:00;1;-1;12.5;196.8;0900;1;25;230;3.4;95;1;1010;100;1
2016-11-13_10:00;1;-1;12.5;196.8;1000;1;26;230;2.6;94;1;1011;100;1
2016-11-13_11:00;1;-1;12.5;196.8;1100;1;27;230;1.9;94;0;1013;100;1
2016-11-13_12:00;1;-1;12.5;196.8;1200;0;29;230;1.1;94;0;1014;100;1
2016-11-13_13:00;1;-1;12.5;196.8;1300;0;29;230;0.9;94;0;1016;100;0
2016-11-13_14:00;1;-1;12.5;196.8;1400;0;29;230;0.8;94;0;1017;100;0
2016-11-13_15:00;1;-1;12.5;196.8;1500;0;29;230;0.6;94;0;1019;100;0
2016-11-13_16:00;1;-1;12.5;196.8;1600;-1;28;230;0.5;94;1;1020;100;-1
2016-11-13_17:00;1;-1;12.5;196.8;1700;-1;27;332;0.3;94;1;1021;100;-1
2016-11-13_18:00;1;-1;12.5;196.8;1800;-1;26;332;0.2;94;2;1022;100;-1
2016-11-13_19:00;1;-1;12.5;196.8;1900;-1;24;332;0.2;94;3;1023;97;-1
2016-11-13_20:00;1;-1;12.5;196.8;2000;-2;23;119;0.1;94;5;1024;95;-2
2016-11-13_21:00;1;-1;12.5;196.8;2100;-2;22;119;0.1;94;7;1025;92;-2
2016-11-13_22:00;1;-1;12.5;196.8;2200;-2;20;119;0.1;94;8;1025;85;-2
2016-11-13_23:00;1;-1;12.5;196.8;2300;-2;18;116;0.0;94;9;1026;78;-2
2016-11-14_00:00;1;-3;0.0;196.8;0000;-3;17;116;0.0;94;10;1027;71;-3
2016-11-14_01:00;1;-3;0.0;196.8;0100;-3;15;116;0.0;94;9;1027;68;-3
2016-11-14_02:00;1;-3;0.0;196.8;0200;-3;13;143;0.0;95;8;1028;65;-3
2016-11-14_03:00;1;-3;0.0;196.8;0300;-4;12;143;0.0;95;7;1028;61;-4
2016-11-14_04:00;1;-3;0.0;196.8;0400;-4;10;143;0.0;95;6;1029;60;-4
2016-11-14_05:00;1;-3;0.0;196.8;0500;-4;9;323;0.0;95;6;1029;58;-4
2016-11-14_06:00;1;-3;0.0;196.8;0600;-4;8;323;0.0;95;5;1029;56;-4
